County|Court|Court Address|Type
El Paso|34th District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|168th District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|243rd District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|171st District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|120th District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|210th District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|346th District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|384th District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|41st District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|205th District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|448th District Court|500 E. San Antonio, El Paso, TX 79901|District
El Paso|County Court at Law 3|500 E. San Antonio, El Paso, TX 79901|County
El Paso|County Court at Law 6|500 E. San Antonio, El Paso, TX 79901|County
El Paso|County Court at Law 7|500 E. San Antonio, El Paso, TX 79901|County
El Paso|Justice of the Peace for Precinct 1|424 Executive Center, Suite 100,  EL Paso, Texas 79902|Justice
El Paso|Justice of the Peace for Precinct 2|4641 Cohen Ave., Suite A, EL Paso, Texas 79924|Justice
El Paso|Justice of the Peace for Precinct 3|500 E. San Antonio, 3rd Floor, Suite 308, EL Paso, Texas 79901|Justice
El Paso|Justice of the Peace for Precinct 4|2350 George Dieter, Suite A, EL Paso, Texas 79936|Justice
El Paso|Justice of the Peace for Precinct 5|9521 Socorro Rd., Suite B2, EL Paso, Texas 79927|Justice
El Paso|Justice of the Peace for Precinct 6, Place 1|190 N. San Elizario Rd., Clint, Texas 79836|Justice
El Paso|Justice of the Peace for Precinct 6, Place 2|14608 Greg Dr., EL Paso, Texas 79938|Justice
El Paso|Justice of the Peace for Precinct 7|435 E. Vinton Rd., Suite C, Vinton, Texas 79821|Justice
