County|Court|Court Address|Type
Hidalgo |92nd District Court| 100 N. Closner, Edinburg, TX 78539 | District
Hidalgo |93rd District Court| 100 N. Closner, Edinburg, TX 78539 | District
Hidalgo |139th District Court| 100 N. Closner, Edinburg, TX 78539 | District
Hidalgo |206th District Court| 100 N. Closner, Edinburg, TX 78539 | District
Hidalgo |275th District Court| 100 N. Closner, Edinburg, TX 78539 | District
Hidalgo |332nd District Court| 100 N. Closner, Edinburg, TX 78539 | District
Hidalgo |370th District Court| 100 N. Closner, Edinburg, TX 78539 | District
Hidalgo |389th District Court| 100 N. Closner, Edinburg, TX 78539 | District
Hidalgo |398th District Court| 100 N. Closner, Edinburg, TX 78539 | District
Hidalgo |430th District Court| 111 S. 9th Street, Edinburg, TX 78539 | District
Hidalgo |464th District Court| 100 N. Closner, Edinburg, TX 78539 | District
Hidalgo |449th District Court| 1001 N. Doolittle Rd, Edinburg, TX 78539 | District
Hidalgo |476th District Court| 1926 E. Griffin Parkway, Suite 200, Mission, TX 78572 | District
Hidalgo |County Court #1| 100 N. Closner, Edinburg, TX 78539 | County
Hidalgo |County Court #2| 100 N. Closner, Edinburg, TX 78539 | County
Hidalgo |County Court #4| 100 N. Closner, Edinburg, TX 78539 | County
Hidalgo |County Court #5| 100 N. Closner, Edinburg, TX 78539 | County
Hidalgo |County Court #6| 100 N. Closner, Edinburg, TX 78539 | County
Hidalgo |County Court #7| 100 N. Closner, Edinburg, TX 78539 | County
Hidalgo |County Court #8| 100 N. Closner, Edinburg, TX 78539 | County
Hidalgo |County Court #9| 100 N. Closner, Edinburg, TX 78539 | County
Hidalgo |County Court #10| 100 N. Closner, Edinburg, TX 78539 | County
Hidalgo |Precinct 1, Place 1 | 1902 Joe Stephens Ave. , Suite 301, Weslaco, TX 78596 | Justice
Hidalgo |Precinct 1, Place 2 | 1902 Joe Stephens, Suite 302, Weslaco, TX 78596 | Justice
Hidalgo |Precinct 2, Place 1 | 300 W. Hall Acres, Suite F, Pharr, TX 78577 | Justice
Hidalgo |Precinct 2, Place 2 | 300 W. Hall Acres, Suite D, Pharr, TX 78577 | Justice
Hidalgo |Precinct 3, Place 1 | 730 N. Breyfogle, Suite C, Mission, TX 78574 | Justice
Hidalgo |Precinct 3, Place 2 | 730 N. Breyfogle, Suite A, Mission, TX 78574 | Justice
Hidalgo |Precinct 4, Place 1  | 212 N. 12th Avenue, Edinburg, TX 78541 | Justice
Hidalgo |Precinct 4, Place 2 | 224 N. 12th, Edinburg, TX 78539 | Justice
Hidalgo |Precinct 5, Place 1 | 708 E Edinburg Ave, Suite B, Elsa, TX 78543 | Justice
