County|Court|Court Address|Type
Williamson|26th District Court|405 Martin Luther King, Georgetown, TX 78626|District
Williamson|277th District Court|405 Martin Luther King, Georgetown, TX 78626|District
Williamson|368th District Court|405 Martin Luther King, Georgetown, TX 78626|District
Williamson|395th District Court|405 Martin Luther King, Georgetown, TX 78626|District
Williamson|425th District Court|405 Martin Luther King, Georgetown, TX 78626|District
Williamson|480th District Court|405 Martin Luther King, Georgetown, TX 78626|District
Williamson|County Court at Law 1|405 Martin Luther King, Georgetown, TX 78626|County
Williamson|County Court at Law 2|405 Martin Luther King, Georgetown, TX 78626|County
Williamson|County Court at Law 3|405 Martin Luther King, Georgetown, TX 78626|County
Williamson|County Court at Law 4|405 Martin Luther King, Georgetown, TX 78626|County
Williamson|County Court at Law 5|405 Martin Luther King, Georgetown, TX 78626|County
Williamson|Justice of the Peace for Precinct 1|1801 E Old Settlers Blvd, Ste 100, Round Rock, Texas, 78664|Justice
Williamson|Justice of the Peace for Precinct 2|350 Discovery Blvd, Ste. 204, Cedar Park, TX 78613|Justice
Williamson|Justice of the Peace for Precinct 3|100 Wilco Way, Suite 204, Georgetown, TX 78626|Justice
Williamson|Justice of the Peace for Precinct 4|211 W 6th St, Taylor TX  76574-3539|Justice
